,r1x,r1y,v1x,v1y,r2x,r2y,v2x,v2y,r3x,r3y,v3x,v3y
217,-3.1064270822027797,2.572210742883229,-0.1298387288872112,-0.09128064951989517,-2.4324894599839246,2.7538163543908447,0.022671342538168132,-0.028000462056257808,-3.9113574918839165,0.538874604630295,0.04235562882687728,0.07657446889853317
218,-3.119410955091501,2.5630826779312392,-0.1287220062717974,-0.09131399437973947,-2.430222325730108,2.751016308185219,0.021878411490063095,-0.028441589302448833,-3.907121929001229,0.5465320515201484,0.042627742244748454,0.07706147093634848
219,-3.1322831557186803,2.5539512784932654,-0.12763403044088228,-0.09135596399342545,-2.4280344845811017,2.748172149254974,0.021098309720965148,-0.02888149409189616,-3.902859154776754,0.5542381986137832,0.04290092799401613,0.07755159270821457
220,-3.1450465587627687,2.544815682093923,-0.12657318951474086,-0.09140652092091107,-2.4259246536090053,2.7452839998457845,0.02033025876347135,-0.0293202557872215,-3.8985690619773523,0.5619933578846047,0.043175188911997585,0.0780448995586556
221,-3.1577038777142428,2.535675030001832,-0.12553799704228827,-0.09146563262330144,-2.423891627732658,2.7423519742670623,0.01957354089495826,-0.02975795304393049,-3.8942515430861526,0.5697978478404703,0.04345052743601589,0.07854145859178403
222,-3.1702576774184714,2.526528466739502,-0.1245270785211082,-0.09153327210590975,-2.421934273643162,2.739376178962669,0.018827492691800864,-0.03019466356551595,-3.889906490342551,0.5776519936996487,0.0437269455584675,0.07904133874012678
223,-3.1827103852705823,2.517375139528911,-0.12353915962375037,-0.09160941841002586,-2.420051524373982,2.7363567126061175,0.01809149940804751,-0.030630463933967202,-3.885533795786704,0.5855561275736614,0.04400444477845738,0.07954461083620867
224,-3.195064301232957,2.5082141976879084,-0.12257305587209154,-0.0916940569895124,-2.418242374433177,2.7332936662127207,0.01736499005457782,-0.031065429498423697,-3.8811333513088586,0.5935105886572822,0.044283026049679715,0.08005134768702407
225,-3.2073216068201664,2.499044791988957,-0.1216276635455217,-0.09178718000019091,-2.4165058754277196,2.7301871232628785,0.01664743307595792,-0.031499634308638724,-3.8767050487038905,0.6015157234259847,0.04456268972419477,0.08056162415152916
226,-3.2194843731747187,2.4898660739889382,-0.12070195164428567,-0.09188878652374974,-2.4148411321201237,2.7270371598320144,0.0159383325393548,-0.031933151082919456,-3.872248779731471,0.6095718858411376,0.04484343549172231,0.08107551722128886
227,-3.2315545683391473,2.4806771953365634,-0.11979495475823566,-0.09199888274312161,-2.4132472988661884,2.7238438447237225,0.015237224763825262,-0.032366051202512625,-3.8677644361822985,0.6176794375632665,0.04512526231403828,0.08159310610441294
228,-3.243534063814971,2.4714773070622513,-0.11890576671488974,-0.09211748208258888,-2.411723576389806,2.720607239603471,0.014543675329707764,-0.032798404726181556,-3.8632519099508946,0.6258387481737078,0.04540816835402406,0.08211447231291648
229,-3.25542464048646,2.4622655588539923,-0.11803353490010149,-0.09224460532301454,-2.4102692088568354,2.717327399130853,0.013857276417226292,-0.03323028042009588,-3.858711093115492,0.6340501954049994,0.045692150898876314,0.08263969975363895
230,-3.26722799397647,2.453041098321691,-0.1171774551606514,-0.09238028070037159,-2.4088834812151125,2.7140043710888433,0.013177644431161957,-0.03366174579922477,-3.8541418780256045,0.6423141653803633,0.04597720627693976,0.0831688748228543
231,-3.2789457394925354,2.4438030702516538,-0.11633676721132195,-0.09252454399400352,-2.4075657167719964,2.710638196508921,0.01250441787487336,-0.034092867177258936,-3.8495441573979106,0.6506310528626488,0.04626332976757449,0.08370208650470126
232,-3.2905794162136677,2.4345506158522534,-0.11551075048002968,-0.09267743860968196,-2.406315274984509,2.707228909791195,0.011837255442299058,-0.03452370972273971,-3.8449178244211533,0.6590012615131189,0.0465505155034136,0.0842394264735582
233,-3.3021304912616705,2.425282871991285,-0.11469872033376707,-0.0928390156614493,-2.4051315494402794,2.703776538818921,0.01117583430105179,-0.03495433751958583,-3.840262772870812,0.6674252041604747,0.0468387563643051,0.08478098920047962
234,-3.313600363295047,2.4159989704251403,-0.11390002463578262,-0.09300933405537744,-2.404013966010174,2.7002811050669626,0.010519848543472394,-0.035384813630611696,-3.8355788972343814,0.6759033030805226,0.047128043862163474,0.08532687206380177
235,-3.3249903657586253,2.4066980370196025,-0.11311404059085958,-0.09318846057768886,-2.4029619811558267,2.6967426237039014,0.009869007785678306,-0.035815200162948584,-3.830866092848165,0.6844359902869028,0.04741836801588095,0.0858771754640118
236,-3.336301769817711,2.397379190961834,-0.11234017184095554,-0.09337646998913254,-2.401975080377259,2.6931611036876064,0.009223035897319709,-0.03624555833453105,-3.826124256046577,0.693023707833304,0.047709717215364766,0.08643200294295865
237,-3.3475357870018065,2.388041543962921,-0.1115778457780057,-0.09357344512705444,-2.4010527767875267,2.6895365478541535,0.008581669847028676,-0.03667594854100899,-3.8213532843250406,0.7016669081275999,0.04800207807367432,0.08699146130746217
238,-3.358693571579607,2.3786841994502153,-0.11082651104451226,-0.09377947701622415,-2.4001946098028237,2.685868953000053,0.007944658650480897,-0.03710643042260241,-3.8165530765176734,0.7103660542583461,0.048295435266130074,0.08755566075735081
239,-3.369776222684058,2.369306251748593,-0.11008563519575292,-0.09399466498915786,-2.3994001439377755,2.6821583099577926,0.007311762409640873,-0.037537062930540196,-3.8117235329910604,0.7191216203340812,0.04858977135515288,0.08812471501792475
240,-3.3807847862036335,2.3599067852496773,-0.10935470250013558,-0.09421911681639406,-2.3986689676968114,2.6784046036647386,0.006682751433175516,-0.03796790439282172,-3.806864555855545,0.7279340918358737,0.0488850665994677,0.08869874147680053
241,-3.391720256453647,2.350484873568038,-0.10863321185647959,-0.0944529488469198,-2.398000692553494,2.6746078132254563,0.006057405429235059,-0.03839901257911773,-3.8019760491955985,0.7368039659835537,0.0491812987461674,0.08927786132504315
242,-3.402583577639295,2.341039578683346,-0.10792067480887722,-0.09469628615869996,-2.39739495201057,2.6707679119675447,0.005435512762845284,-0.038830444764687604,-3.7970579193209817,0.745731752116058,0.049478442803979866,0.08986219970243012
243,-3.413375645120183,2.331569950067476,-0.10721661364133389,-0.09494926271901756,-2.3968514007342856,2.666884867491076,0.00481686977105683,-0.03926225779323798,-3.7921100750405836,0.754717972086301,0.04977647079591287,0.09045188584661794
244,-3.4240973064843163,2.322075023795574,-0.10652055953564252,-0.09521202155408023,-2.39636971375718,2.662958641711752,0.00420128012977726,-0.039694508138684644,-3.787132427960992,0.7637631606709627,0.050075351489264716,0.09104705324589121
245,-3.4347493624378806,2.312553821640166,-0.10583205077695045,-0.09548471492707723,-2.3959495857442024,2.6589891908978833,0.003588554266887479,-0.04012725196580868,-3.7821248928120657,0.7728678659955518,0.05037505010078326,0.09164783979506638
246,-3.4453325675155755,2.3030053501474583,-0.10515063099225422,-0.09576750452357052,-2.3955907303175135,2.6549764657013024,0.002978508816830983,-0.04056054518981963,-3.7770873878019873,0.7820326499750584,0.050675527974528595,0.09225438795399143
